"Date","Price","Open","High","Low","Change %"
"01-11-2021","6.326","6.391","6.393","6.287","-0.97%"
"01-10-2021","6.388","6.230","6.429","6.226","2.65%"
"01-09-2021","6.223","6.235","6.235","6.116","0.13%"
"01-08-2021","6.215","6.204","6.284","6.188","0.18%"
"01-07-2021","6.204","6.082","6.277","6.035","2.53%"
"01-06-2021","6.051","6.032","6.089","5.984","0.48%"
"01-05-2021","6.022","6.029","6.048","5.958","-0.13%"
"01-04-2021","6.030","6.202","6.202","5.990","-2.38%"
"01-03-2021","6.177","6.236","6.274","6.114","-0.83%"
"01-02-2021","6.229","5.917","6.242","5.888","4.71%"
"01-01-2021","5.949","5.905","5.988","5.839","0.93%"
"01-12-2020","5.894","5.919","5.981","5.887","-0.29%"
"01-11-2020","5.911","5.890","5.936","5.837","0.51%"
"01-10-2020","5.881","5.965","6.042","5.791","-2.23%"
"01-09-2020","6.015","5.949","6.109","5.878","-1.04%"
"01-08-2020","6.078","5.846","6.231","5.808","4.13%"
"01-07-2020","5.837","5.907","5.907","5.747","-0.87%"
"01-06-2020","5.888","6.055","6.089","5.755","-2.08%"
"01-05-2020","6.013","6.138","6.250","5.879","-1.59%"
"01-04-2020","6.110","6.287","6.504","6.015","-0.46%"
"01-03-2020","6.138","6.343","6.449","5.995","-3.66%"
"01-02-2020","6.371","6.509","6.520","6.326","-3.46%"
"01-01-2020","6.599","6.548","6.692","6.485","0.69%"
"01-12-2019","6.554","6.463","6.837","6.448","1.46%"
"01-11-2019","6.460","6.431","6.574","6.415","-2.75%"
"01-10-2019","6.643","6.680","6.739","6.582","-0.78%"
"01-09-2019","6.695","6.498","6.874","6.488","2.12%"
"01-08-2019","6.556","6.394","6.639","6.296","2.94%"
"01-07-2019","6.369","6.906","6.930","6.266","-7.41%"
"01-06-2019","6.879","6.949","7.097","6.734","-2.18%"
"01-05-2019","7.032","7.411","7.426","7.030","-5.15%"
"01-04-2019","7.414","7.356","7.497","7.229","0.93%"
"01-03-2019","7.346","7.588","7.590","7.301","-3.23%"
"01-02-2019","7.591","7.470","7.699","7.425","1.44%"
"01-01-2019","7.483","7.401","7.650","7.350","1.53%"
"01-12-2018","7.370","7.646","7.703","7.218","-3.12%"
"01-11-2018","7.607","7.831","7.840","7.576","-3.13%"
"01-10-2018","7.853","7.923","8.210","7.797","-2.13%"
"01-09-2018","8.024","7.940","8.231","7.917","0.92%"
"01-08-2018","7.951","7.767","7.958","7.681","2.30%"
"01-07-2018","7.772","7.889","7.917","7.723","-1.66%"
"01-06-2018","7.903","7.860","8.000","7.769","0.98%"
"01-05-2018","7.826","7.731","7.945","7.553","0.76%"
"01-04-2018","7.767","7.333","7.797","7.123","4.99%"
"01-03-2018","7.398","7.726","7.800","7.286","-4.25%"
"01-02-2018","7.726","7.446","7.816","7.399","3.98%"
"01-01-2018","7.430","7.349","7.587","7.243","1.42%"
"01-12-2017","7.326","7.088","7.410","7.012","3.80%"
"01-11-2017","7.058","6.879","7.084","6.847","2.86%"
"01-10-2017","6.862","6.674","6.898","6.625","2.99%"
"01-09-2017","6.663","6.492","6.710","6.477","2.11%"
"01-08-2017","6.525","6.466","6.576","6.419","0.93%"
"01-07-2017","6.465","6.610","6.618","6.404","-0.71%"
"01-06-2017","6.511","6.649","6.672","6.419","-2.25%"
"01-05-2017","6.661","6.968","6.994","6.653","-4.31%"
"01-04-2017","6.961","6.658","6.983","6.554","4.55%"
"01-03-2017","6.658","6.898","6.932","6.665","-3.09%"
"01-02-2017","6.870","6.403","6.953","6.376","7.23%"
"01-01-2017","6.407","6.483","6.494","6.294","-1.61%"
"01-12-2016","6.512","6.257","6.620","6.169","4.31%"
"01-11-2016","6.243","6.873","6.929","6.113","-9.32%"
"01-10-2016","6.885","6.956","6.956","6.783","-1.05%"
"01-09-2016","6.958","7.104","7.126","6.910","-2.14%"
"01-08-2016","7.110","7.138","7.225","7.074","-0.74%"
"01-07-2016","7.163","7.441","7.441","7.161","-3.83%"
"01-06-2016","7.448","7.473","7.546","7.421","-0.31%"
"01-05-2016","7.471","7.439","7.499","7.419","0.48%"
"01-04-2016","7.435","7.451","7.496","7.353","-0.32%"
"01-03-2016","7.459","7.630","7.672","7.453","-2.15%"
"01-02-2016","7.623","7.793","7.879","7.617","-2.01%"
"01-01-2016","7.779","7.754","7.832","7.707","0.27%"
"01-12-2015","7.758","7.785","7.818","7.686","-0.36%"
"01-11-2015","7.786","7.640","7.788","7.610","1.91%"
"01-10-2015","7.640","7.527","7.648","7.496","1.34%"
"01-09-2015","7.539","7.793","7.803","7.527","-3.15%"
"01-08-2015","7.784","7.788","7.911","7.712","-0.28%"
"01-07-2015","7.806","7.865","7.909","7.725","-0.70%"
"01-06-2015","7.861","7.815","8.017","7.689","0.59%"
"01-05-2015","7.815","7.875","8.007","7.809","-0.57%"
"01-04-2015","7.860","7.722","7.873","7.711","1.58%"
"01-03-2015","7.738","7.738","7.811","7.648","0.18%"
"01-02-2015","7.724","7.700","7.752","7.640","0.43%"
"01-01-2015","7.691","7.852","7.918","7.672","-2.09%"
"01-12-2014","7.855","8.058","8.110","7.780","-2.87%"
"01-11-2014","8.087","8.262","8.266","8.059","-2.31%"
"01-10-2014","8.278","8.511","8.511","8.255","-2.74%"
"01-09-2014","8.511","8.563","8.563","8.423","-0.56%"
"01-08-2014","8.559","8.747","8.890","8.479","-1.82%"
"01-07-2014","8.718","8.739","8.840","8.634","-0.30%"
"01-06-2014","8.744","8.652","8.785","8.497","1.15%"
"01-05-2014","8.645","8.816","8.875","8.600","-2.07%"
"01-04-2014","8.828","8.863","9.129","8.811","0.27%"
"01-03-2014","8.804","8.865","8.925","8.695","-0.65%"
"01-02-2014","8.862","8.774","8.943","8.659","1.05%"
"01-01-2014","8.770","8.828","8.878","8.493","-0.57%"
"01-12-2013","8.820","9.058","9.190","8.743","-2.48%"
"01-11-2013","9.044","8.658","9.144","8.638","4.86%"
"01-10-2013","8.625","8.713","8.743","8.396","-1.61%"
"01-09-2013","8.766","8.588","8.901","8.163","1.98%"
"01-08-2013","8.596","8.172","9.484","8.038","5.19%"
"01-07-2013","8.172","7.463","8.481","7.409","9.85%"
"01-06-2013","7.439","7.424","7.592","7.192","-0.05%"
"01-05-2013","7.443","7.713","7.801","7.315","-3.73%"
"01-04-2013","7.731","7.960","8.007","7.711","-2.77%"
"01-03-2013","7.951","7.855","7.991","7.832","1.00%"
"01-02-2013","7.872","7.925","7.939","7.782","-0.51%"
"01-01-2013","7.912","7.984","8.010","7.791","-1.70%"
"01-12-2012","8.049","8.169","8.187","8.035","-1.54%"
"01-11-2012","8.175","8.221","8.237","8.163","-0.49%"
"01-10-2012","8.215","8.147","8.221","8.114","0.81%"
"01-09-2012","8.149","8.236","8.236","8.118","-1.12%"
"01-08-2012","8.241","8.243","8.280","8.108","-0.05%"
"01-07-2012","8.245","8.434","8.434","8.018","-1.61%"
"01-06-2012","8.380","8.359","8.459","8.245","0.04%"
"01-05-2012","8.377","8.703","8.703","8.364","-3.39%"
"01-04-2012","8.671","8.514","8.757","8.312","1.15%"
"01-03-2012","8.572","8.209","8.630","8.199","4.55%"
"01-02-2012","8.199","8.133","8.273","8.099","-0.82%"
"01-01-2012","8.267","8.633","8.633","8.109","-3.42%"
"01-12-2011","8.560","8.740","8.740","8.276","-2.04%"
"01-11-2011","8.738","8.956","9.132","8.730","-1.59%"
"01-10-2011","8.879","8.506","8.879","8.506","5.18%"
"01-09-2011","8.442","8.338","8.442","8.281","1.48%"
"01-08-2011","8.319","8.428","8.461","8.192","-1.60%"
"01-07-2011","8.454","8.357","8.472","8.238","1.54%"
"01-06-2011","8.326","8.357","8.397","8.196","-1.01%"
"01-05-2011","8.411","8.148","8.461","8.139","3.39%"
"01-04-2011","8.135","7.989","8.135","7.964","1.88%"
"01-03-2011","7.985","8.016","8.018","7.931","-0.09%"
"01-02-2011","7.992","8.145","8.212","7.992","-1.91%"
